Ordem de inscrição;Tipo de ingresso;Valor;Data compra;Check-in;Data Check-in (*);Qual seu nível de conhecimento sobre Data Science?;De que empresa/instituição você é?
24;Ingresso;R$ 0,00;2019-02-05 23:08:22;Não;;Trabalho na área;UFCG
6;Ingresso;R$ 0,00;2019-02-05 22:25:14;Não;;Sou iniciante, conheço alguns conceitos :);Estudante do Nave Recife
9;Ingresso;R$ 0,00;2019-02-05 22:36:10;Não;;Sou leigo(a), quero saber mais sobre a área! :D;Fundação Joaquim Nabuco
5;Ingresso;R$ 0,00;2019-02-05 22:23:17;Não;;Sou iniciante, conheço alguns conceitos :);Itaú
12;Ingresso;R$ 0,00;2019-02-05 22:40:57;Não;;Sou iniciante, conheço alguns conceitos :);CESAR
17;Ingresso;R$ 0,00;2019-02-05 22:50:13;Não;;Sou leigo(a), quero saber mais sobre a área! :D;Porto Digital
7;Ingresso;R$ 0,00;2019-02-05 22:35:00;Não;;Sou iniciante, conheço alguns conceitos :);CESAR
25;Ingresso;R$ 0,00;2019-02-05 23:08:58;Não;;Sou iniciante, conheço alguns conceitos :);Accenture
20;Ingresso;R$ 0,00;2019-02-05 23:01:16;Não;;Sou iniciante, conheço alguns conceitos :);UNIFG
21;Ingresso;R$ 0,00;2019-02-05 23:03:25;Não;;Sou iniciante, conheço alguns conceitos :);UFPE- Universidade Federal de Pernambuco
4;Ingresso;R$ 0,00;2019-02-05 22:23:17;Não;;Sou iniciante, conheço alguns conceitos :);InspirAda na Computação
3;Ingresso;R$ 0,00;2019-02-05 22:23:03;Não;;Sou iniciante, conheço alguns conceitos :);IFPE
64;Lista de espera;R$ 0,00;2019-03-13 07:46:25;Não;;;
11;Ingresso;R$ 0,00;2019-02-05 22:40:34;Não;;Sou iniciante, conheço alguns conceitos :);Autonoma
15;Ingresso;R$ 0,00;2019-02-05 22:43:16;Não;;Sou leigo(a), quero saber mais sobre a área! :D;MV
14;Ingresso;R$ 0,00;2019-02-05 22:43:15;Não;;Sou leigo(a), quero saber mais sobre a área! :D;Estudante
2;Ingresso;R$ 0,00;2019-02-05 22:21:36;Não;;Sou leigo(a), quero saber mais sobre a área! :D;IFRN
1;Ingresso;R$ 0,00;2019-02-05 21:38:17;Não;;Trabalho na área;Accenture
27;Ingresso;R$ 0,00;2019-02-05 23:10:32;Não;;Sou iniciante, conheço alguns conceitos :);CESAR School
30;Ingresso;R$ 0,00;2019-02-05 23:28:55;Não;;Sou iniciante, conheço alguns conceitos :);Universidade Católica de Pernmabuco
19;Ingresso;R$ 0,00;2019-02-05 22:59:38;Não;;Sou iniciante, conheço alguns conceitos :);Faculdade dos Guararapes
