Ordem de inscrição;Tipo de ingresso;Valor;Data compra;Qual seu nível de conhecimento sobre Data Science?;De que empresa/instituição você é?
41;Ingresso;R$ 0,00;2018-02-28 13:46:35;Sou iniciante, conheço alguns conceitos :);Ufpe
78;Lista de espera;R$ 0,00;2018-02-28 16:43:24;Sou iniciante, conheço alguns conceitos :);UFPE
42;Ingresso;R$ 0,00;2018-02-28 13:47:21;Sou iniciante, conheço alguns conceitos :);Faculdade dos Guararapes
13;Ingresso;R$ 0,00;2018-02-28 11:39:30;Trabalho na área;Universidade de Pernambuco - POLI/UPE
77;Lista de espera;R$ 0,00;2018-02-28 16:10:37;Sou leigo(a), quero saber mais sobre a área! :D;Centro de Informática - UFPE
33;Ingresso;R$ 0,00;2018-02-28 13:30:00;Trabalho na área;Accenture
61;Ingresso;R$ 0,00;2018-02-28 14:40:55;Sou iniciante, conheço alguns conceitos :);
16;Ingresso;R$ 0,00;2018-02-28 11:47:39;Sou iniciante, conheço alguns conceitos :);
24;Ingresso;R$ 0,00;2018-02-28 12:49:39;Trabalho na área;Grupo de Pesquisa em Redes e Telecomunicações (GPRT/UFPE)
80;Lista de espera;R$ 0,00;2018-02-28 17:02:49;Sou iniciante, conheço alguns conceitos :);Faculdade Nova Roma
63;Ingresso;R$ 0,00;2018-02-28 14:50:58;Sou leigo(a), quero saber mais sobre a área! :D;Instituto SENAI de Inovação
43;Ingresso;R$ 0,00;2018-02-28 13:47:24;Sou iniciante, conheço alguns conceitos :);UFPE
12;Ingresso;R$ 0,00;2018-02-28 11:32:19;Sou iniciante, conheço alguns conceitos :);UPE - Polí
71;Lista de espera;R$ 0,00;2018-02-28 15:50:46;Sou iniciante, conheço alguns conceitos :);Accenture
57;Ingresso;R$ 0,00;2018-02-28 14:36:15;Sou iniciante, conheço alguns conceitos :);Cesar
53;Ingresso;R$ 0,00;2018-02-28 14:22:39;Sou iniciante, conheço alguns conceitos :);Vision For You
56;Ingresso;R$ 0,00;2018-02-28 14:29:19;Sou iniciante, conheço alguns conceitos :);
83;Ingresso;R$ 0,00;2018-03-02 08:22:03;Sou iniciante, conheço alguns conceitos :);
49;Ingresso;R$ 0,00;2018-02-28 14:04:44;Sou iniciante, conheço alguns conceitos :);Avanade
22;Ingresso;R$ 0,00;2018-02-28 12:43:47;Sou iniciante, conheço alguns conceitos :);
84;Lista de espera;R$ 0,00;2018-03-02 08:37:16;Trabalho na área;UPE
29;Ingresso;R$ 0,00;2018-02-28 13:06:36;Trabalho na área;Genomika
3;Ingresso;R$ 0,00;2018-02-27 21:09:06;Sou leigo(a), quero saber mais sobre a área! :D;In Loco
51;Ingresso;R$ 0,00;2018-02-28 14:12:58;Sou iniciante, conheço alguns conceitos :);Accenture
75;Lista de espera;R$ 0,00;2018-02-28 15:59:48;Trabalho na área;Pessoal e Engenharia/SEFAD
79;Lista de espera;R$ 0,00;2018-02-28 17:00:49;Sou iniciante, conheço alguns conceitos :);Secretaria de Educação
21;Ingresso;R$ 0,00;2018-02-28 12:41:26;Trabalho na área;
2;Ingresso;R$ 0,00;2018-02-27 17:24:04;Trabalho na área;Accenture
1;Ingresso;R$ 0,00;2018-02-27 17:08:29;Trabalho na área;Nenhuma
65;Lista de espera;R$ 0,00;2018-02-28 15:07:41;Sou iniciante, conheço alguns conceitos :);
45;Ingresso;R$ 0,00;2018-02-28 13:50:33;Sou iniciante, conheço alguns conceitos :);Accenture
